filename,unicode,name
uni0020.svg,U+0020,space
uni0021.svg,U+0021,exclam
uni0022.svg,U+0022,quotedbl
uni0026.svg,U+0026,ampersand
uni0027.svg,U+0027,quotesingle
uni0028.svg,U+0028,parenleft
uni0029.svg,U+0029,parenright
uni002C.svg,U+002C,comma
uni002D.svg,U+002D,hyphen
uni002E.svg,U+002E,period
uni002F.svg,U+002F,slash
uni0030.svg,U+0030,zero
uni0031.svg,U+0031,one
uni0032.svg,U+0032,two
uni0033.svg,U+0033,three
uni0034.svg,U+0034,four
uni0035.svg,U+0035,five
uni0036.svg,U+0036,six
uni0037.svg,U+0037,seven
uni0038.svg,U+0038,eight
uni0039.svg,U+0039,nine
uni003A.svg,U+003A,colon
uni003B.svg,U+003B,semicolon
uni003F.svg,U+003F,question
uni0040.svg,U+0040,at
uni0041.svg,U+0041,A
uni0042.svg,U+0042,B
uni0043.svg,U+0043,C
uni0044.svg,U+0044,D
uni0045.svg,U+0045,E
uni0046.svg,U+0046,F
uni0047.svg,U+0047,G
uni0048.svg,U+0048,H
uni0049.svg,U+0049,I
uni004A.svg,U+004A,J
uni004B.svg,U+004B,K
uni004C.svg,U+004C,L
uni004D.svg,U+004D,M
uni004E.svg,U+004E,N
uni004F.svg,U+004F,O
uni0050.svg,U+0050,P
uni0051.svg,U+0051,Q
uni0052.svg,U+0052,R
uni0053.svg,U+0053,S
uni0054.svg,U+0054,T
uni0055.svg,U+0055,U
uni0056.svg,U+0056,V
uni0057.svg,U+0057,W
uni0058.svg,U+0058,X
uni0059.svg,U+0059,Y
uni005A.svg,U+005A,Z
uni0061.svg,U+0061,a
uni0062.svg,U+0062,b
uni0063.svg,U+0063,c
uni0064.svg,U+0064,d
uni0065.svg,U+0065,e
uni0066.svg,U+0066,f
uni0067.svg,U+0067,g
uni0068.svg,U+0068,h
uni0069.svg,U+0069,i
uni006A.svg,U+006A,j
uni006B.svg,U+006B,k
uni006C.svg,U+006C,l
uni006D.svg,U+006D,m
uni006E.svg,U+006E,n
uni006F.svg,U+006F,o
uni0070.svg,U+0070,p
uni0071.svg,U+0071,q
uni0072.svg,U+0072,r
uni0073.svg,U+0073,s
uni0074.svg,U+0074,t
uni0075.svg,U+0075,u
uni0076.svg,U+0076,v
uni0077.svg,U+0077,w
uni0078.svg,U+0078,x
uni0079.svg,U+0079,y
uni007A.svg,U+007A,z
